"city","position_id","position_name","position_edu","position_salary","position_work_exp","company_name","company_id","company_industry","company_size","company_lat","company_long"
"深圳","6938486","python","本科","15k-30k","3-5年","省省回头车","19209","消费生活","150-500人","22.540638","114.045519"
"深圳","6945237","python开发","本科","10k-20k","1-3年","省省回头车","19209","消费生活","150-500人","22.540638","114.045519"
"广州","6946604","Python开发工程师（兼职）","本科","2k-3k","应届毕业生","微宽信息","522082","移动互联网,金融","15-50人","23.073875","113.315529"
"北京","6956543","软件工程师(Python)","硕士","20k-35k","1-3年","梅卡曼德","150860","企业服务,硬件","150-500人","40.040791","116.311151"
"上海","6977506","python工程师","本科","12k-18k","1-3年","宸安生物","128064","医疗丨健康","50-150人","31.206812","121.610507"
"上海","6986184","大数据开发工程师（Python）","本科","15k-20k","1-3年","诺亚（中国）控股有限公司","12807","金融","2000人以上","31.271749","121.533681"
"广州","6995107","python工程师","本科","15k-20k","3-5年","碧桂园物业","227169","其他,消费生活","2000人以上","23.029593","113.290844"
"广州","7021678","python高级讲师","本科","25k-50k","5-10年","传智播客","22462","教育","500-2000人","23.129551","113.427942"
"广州","7022679","高级Python工程师","本科","13k-25k","3-5年","中思拓大数据研究院","118001179","数据服务,软件开发","50-150人","23.114167","113.328859"
"广州","7022751","python开发工程师","不限","5k-7k","1-3年","建杉科技","140320","硬件,电商","少于15人","23.045368","113.397243"
"北京","7031341","python开发工程师","本科","15k-30k","3-5年","小叶子The ONE","7094","硬件,教育","150-500人","40.021963","116.474814"
"上海","7033381","python","大专","10k-18k","3-5年","兆殷特","97226","移动互联网,企业服务","50-150人","31.194206","121.260211"
"广州","7033995","python工程师","不限","1k-2k","应届毕业生","字言智语","749328","工具,软件开发","少于15人","23.12468","113.3612"
"广州","7038615","python后端","大专","3k-6k","不限","超悦文化","118432157","软件开发","少于15人","23.133533","113.247709"
"深圳","7040855","python工程师","本科","15k-25k","3-5年","汇翼信息科技","360816","移动互联网,广告营销","少于15人","22.549041","113.943289"
"北京","7052739","python开发工程师","本科","12k-20k","1-3年","MICO","22596","移动互联网","150-500人","39.961372","116.460422"
"北京","7056070","Python研发工程师（高级）","本科","20k-40k","5-10年","青藤云安全","35630","数据服务","150-500人","40.040723","116.310982"
"北京","7071440","python工程师","本科","30k-50k","3-5年","茄子快传","72720","工具","150-500人","40.046807","116.288106"
"上海","7073467","python爬虫","本科","14k-17k","3-5年","博奥特科技","69152","移动互联网,金融","150-500人","31.220724","121.381215"
"北京","7076264","高级python工程师(J11346)","本科","20k-30k","3-5年","明略科技集团","13171","数据服务,广告营销","2000人以上","40.047478","116.351281"
"上海","7080329","python","本科","15k-25k","3-5年","渡一教育","436888","移动互联网,教育","50-150人","31.218479","121.445911"
"广州","7088363","初级讲师（Python方向）","本科","7k-10k","1-3年","广东人民出版社","458757","电商","150-500人","23.114629","113.287254"
"广州","7108622","python爬虫","本科","7k-12k","1-3年","头文科技","263071","移动互联网,企业服务","50-150人","23.010231","113.352001"
"深圳","7115043","python教研实习生","本科","4k-6k","不限","风变科技（深圳）有限公司","321025","移动互联网,教育","500-2000人","22.546158","113.946884"
"上海","7115105","python开发工程师","大专","10k-17k","1-3年","微创软件","124652","企业服务,移动互联网","2000人以上","31.300095","121.517757"
"上海","7115223","python开发","大专","10k-14k","1-3年","苏测","202691","移动互联网,企业服务","500-2000人","31.194206","121.260211"
"上海","7118054","python开发工程师G00345","本科","20k-40k","不限","谷露软件","5002","数据服务,企业服务","50-150人","31.230438","121.481062"
"北京","7121294","Python 高级开发工程师","不限","25k-50k","5-10年","墨云科技","221192","信息安全","50-150人","40.04059","116.309306"
"北京","7121306","Python 开发工程师","本科","20k-40k","3-5年","墨云科技","221192","信息安全","50-150人","40.04059","116.309306"
"广州","7124665","python开发","大专","6k-9k","1-3年","天锐医健","132869","移动互联网,信息安全","50-150人","23.163417","113.431336"
"上海","7128405","python开发工程师","本科","10k-15k","1-3年","微创软件","124652","企业服务,移动互联网","2000人以上","31.02074","121.450985"
"上海","7128560","python","本科","18k-35k","3-5年","合阔信息","106387","企业服务,移动互联网","50-150人","31.208495","121.420258"
"上海","7128753","Python后端研发工程师","本科","15k-30k","3-5年","斗象科技","33219","信息安全","150-500人","31.198289","121.58109"
"深圳","7130210","Python开发工程师---0401","本科","15k-25k","3-5年","视野金融","60689","移动互联网,金融","50-150人","22.536218","114.05252"
"上海","7133089","python开发","本科","15k-17k","1-3年","微创软件","124652","企业服务,移动互联网","2000人以上","31.300546","121.513146"
"北京","7133978","Python开发工程师经理","本科","15k-30k","5-10年","泰康健投","68758","金融,医疗丨健康","2000人以上","39.92057","116.463252"
"上海","7135918","技术经理（python)","本科","20k-40k","5-10年","大亲家","367149","移动互联网,社交","15-50人","31.021401","121.463086"
"上海","7151416","Python开发工程师","本科","10k-20k","1-3年","雪湖科技","349667","数据服务,硬件","50-150人","31.214016","121.396945"
"上海","7161542","python开发工程师","不限","15k-20k","3-5年","经数科技","626065","企业服务","15-50人","31.299417","121.493193"
"北京","7183784","高级python开发工程师","本科","25k-45k","5-10年","音娱时光","286568","移动互联网","50-150人","39.977555","116.352145"
"广州","7184014","python开发工程师","本科","8k-15k","1-3年","广州三顾","117695483","文娱丨内容","15-50人","23.009878","113.352255"
"深圳","7191472","高级python开发工程师","本科","15k-25k","5-10年","华世界","558851","电商","50-150人","22.675233","114.12286"
"广州","7193518","python经理","大专","8k-10k","1-3年","迪奥科技","22708","消费生活,数据服务","15-50人","22.72124","113.530617"
"上海","7197739","Python工程师","不限","14k-28k","3-5年","乐言科技","133217","企业服务","500-2000人","31.217716","121.417125"
"上海","7200142","python实施工程师","本科","8k-13k","1-3年","达观数据","97882","人工智能","150-500人","31.199732","121.60245"
"上海","7200947","python开发工程师","本科","15k-19k","3-5年","微创软件","124652","企业服务,移动互联网","2000人以上","31.168666","121.400021"
"上海","7201275","广告平台开发工程师（Python/Go）","本科","15k-30k","1-3年","触宝","7030","移动互联网,数据服务","500-2000人","31.159507","121.354889"
